特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值,排名
平均气温℃_21d,平均气温℃_21d,white_incidence,白斑病发病株率,120,-0.4368211905636016,6.101935066655318e-07,-0.35076880349253536,8.572142435231887e-05,7
平均气温℃_28d,平均气温℃_28d,white_incidence,白斑病发病株率,120,-0.43536416424445973,6.714570155308533e-07,-0.3565962638912052,6.396821300878903e-05,8
平均相对湿度_7d,平均相对湿度_7d,white_incidence,白斑病发病株率,120,0.4328120181435115,7.931108707477131e-07,0.3557181635237849,6.687723211732576e-05,9
生育期编码,生育期编码,white_incidence,白斑病发病株率,120,0.4130487029513065,2.7526828706459963e-06,0.40533335817863486,4.3811662468880635e-06,10
平均短波辐射_28d,平均短波辐射_28d,white_index,白斑病病情指数,120,-0.5908104422718653,1.219430346455245e-12,-0.4969065526328802,7.800815521580828e-09,1
平均相对湿度_28d,平均相对湿度_28d,white_index,白斑病病情指数,120,0.5213262086536822,1.0285170402307312e-09,0.3508443125637948,8.540001183105864e-05,2
平均相对湿度_21d,平均相对湿度_21d,white_index,白斑病病情指数,120,0.504373348903828,4.269700613376045e-09,0.3237768139687418,0.00030934293183592086,3
28天内高湿天数,28天内高湿天数,white_index,白斑病病情指数,120,0.49066917010936045,1.2765166135982458e-08,0.2501035905616817,0.005869255941008308,4
平均相对湿度_14d,平均相对湿度_14d,white_index,白斑病病情指数,120,0.48908859807352834,1.4439430823274395e-08,0.3066395543849644,0.0006583682029487772,5
平均短波辐射_7d,平均短波辐射_7d,white_index,白斑病病情指数,120,-0.4650041041226576,8.760452195597923e-08,-0.4104961442939066,3.2143062854691035e-06,6
平均气温℃_21d,平均气温℃_21d,white_index,白斑病病情指数,120,-0.43856270346803433,5.439381785608488e-07,-0.3489624434213255,9.375510022488773e-05,7
平均气温℃_28d,平均气温℃_28d,white_index,白斑病病情指数,120,-0.43646351022095453,6.247203256119395e-07,-0.3527283972163276,7.77350332829721e-05,8
平均相对湿度_7d,平均相对湿度_7d,white_index,白斑病病情指数,120,0.4270124549098833,1.1520901063006663e-06,0.2611596158807435,0.003963006671135015,9
生育期编码,生育期编码,white_index,白斑病病情指数,120,0.4263851802637932,1.1990710093282433e-06,0.42051593039437907,1.736134992542926e-06,10
