特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值
平均相对湿度_14d,平均相对湿度_14d,white_index,白斑病病情指数,120,0.48908859807352834,1.4439430823274395e-08,0.3066395543849644,0.0006583682029487772
平均相对湿度_28d,平均相对湿度_28d,gray_incidence,灰斑病发病株率,119,0.422195047108841,1.7308421475710217e-06,0.3872134736694565,1.359078973813451e-05
平均相对湿度_28d,平均相对湿度_28d,gray_index,灰斑病病情指数,118,0.42727543690567865,1.3970326404810236e-06,0.32336685867011417,0.0003546328709483436
平均相对湿度_28d,平均相对湿度_28d,blight_incidence,大斑病发病株率,121,0.42579280477916637,1.122170399616284e-06,0.45325247199462326,1.7848132453554733e-07
平均相对湿度_28d,平均相对湿度_28d,blight_index,大斑病病情指数,121,0.425041170566414,1.177452434226334e-06,0.36042064973050214,4.889952725231571e-05
平均相对湿度_28d,平均相对湿度_28d,white_incidence,白斑病发病株率,120,0.5253002888147104,7.283201894673422e-10,0.45572675997617007,1.6920864616152582e-07
平均相对湿度_28d,平均相对湿度_28d,white_index,白斑病病情指数,120,0.5213262086536822,1.0285170402307312e-09,0.3508443125637948,8.540001183105864e-05
湿度日较差,湿度日较差,gray_incidence,灰斑病发病株率,119,-0.04171461660495631,0.6523891171932049,-0.009061760325656221,0.9220825948231962
湿度日较差,湿度日较差,gray_index,灰斑病病情指数,118,-0.06851483874726504,0.46099724105359535,-0.08196650597566787,0.37756495004255824
湿度日较差,湿度日较差,blight_incidence,大斑病发病株率,121,-0.2467746512289896,0.006358849213283845,-0.19809553184655826,0.029401202456049127
湿度日较差,湿度日较差,blight_index,大斑病病情指数,121,-0.24106286356647832,0.0077316956908063785,-0.08645989730942853,0.34570437620519817
湿度日较差,湿度日较差,white_incidence,白斑病发病株率,120,-0.1549617991680774,0.09103213835631313,-0.13784191252305128,0.1332640041627512
湿度日较差,湿度日较差,white_index,白斑病病情指数,120,-0.1588077177009554,0.0831926254391867,-0.11633314772690348,0.2057537386860827
平均土壤相对湿度_14d,平均土壤相对湿度_14d,gray_incidence,灰斑病发病株率,119,0.0287880898975054,0.7559598084906028,0.00590939391931482,0.9491422247056734
平均土壤相对湿度_14d,平均土壤相对湿度_14d,gray_index,灰斑病病情指数,118,0.056294378821400495,0.5448572984363688,0.049854784842703566,0.5918686241387505
平均土壤相对湿度_14d,平均土壤相对湿度_14d,blight_incidence,大斑病发病株率,121,-0.03235529094278527,0.7246086858540394,-0.21648566580975692,0.017080089221696074
平均土壤相对湿度_14d,平均土壤相对湿度_14d,blight_index,大斑病病情指数,121,-0.03451671210677288,0.7070248852749569,-0.21330519252043206,0.018818610860304542
平均土壤相对湿度_14d,平均土壤相对湿度_14d,white_incidence,白斑病发病株率,120,0.1606301015580289,0.07967134925648951,0.0794137061873694,0.3885825355022251
平均土壤相对湿度_14d,平均土壤相对湿度_14d,white_index,白斑病病情指数,120,0.1661502083665224,0.0697298295505066,0.06842002498164283,0.4577665475038731
平均土壤相对湿度_7d,平均土壤相对湿度_7d,gray_incidence,灰斑病发病株率,119,-0.0433144916593314,0.6399723209647481,-0.04652404920756529,0.6153632155055012
