模式,点位编号,点位别名,点位名称,日期,记录编号,同日重复组编号,是否基线点,实际_灰斑病发病株率,实际_灰斑病病情指数,预测_灰斑病发病株率,预测_灰斑病病情指数,实际_灰斑病发病株率风险,预测_灰斑病发病株率风险,实际_灰斑病病情指数风险,预测_灰斑病病情指数风险,实际_综合风险,预测_综合风险,实际_大斑病发病株率,实际_大斑病病情指数,预测_大斑病发病株率,预测_大斑病病情指数,实际_大斑病发病株率风险,预测_大斑病发病株率风险,实际_大斑病病情指数风险,预测_大斑病病情指数风险,实际_白斑病发病株率,实际_白斑病病情指数,预测_白斑病发病株率,预测_白斑病病情指数,实际_白斑病发病株率风险,预测_白斑病发病株率风险,实际_白斑病病情指数风险,预测_白斑病病情指数风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-06-22,56,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-06-30,57,1,0,0.0,0.0,0.024168286472558975,0.052347034215927124,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.027840841561555862,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-07-07,58,1,0,0.0,0.0,0.023236311972141266,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.001986934570595622,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-07-14,59,1,0,0.0,0.0,0.0072605907917022705,0.019348785281181335,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.014754689298570156,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-07-21,60,1,0,0.0,0.0,0.0585489422082901,0.06602340936660767,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.021520154550671577,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-07-28,61,1,0,0.0,0.0,0.006777839735150337,0.020475871860980988,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.02790604718029499,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-08-04,62,1,0,0.0,0.0,0.040300097316503525,0.018097274005413055,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.039010848850011826,0.029563341289758682,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-08-11,63,1,0,0.0,0.0,0.0,0.017559155821800232,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.07943013310432434,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-08-18,64,1,0,0.0,0.0,0.018282048404216766,0.046989135444164276,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.13633188605308533,低风险,低风险,低风险,低风险
full_fit,4,S4 新都-长龙,成都市新都区长龙路,2025-08-25,65,1,0,0.0,0.0,0.0,0.0005560461431741714,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.14034432172775269,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-06-22,66,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-06-30,67,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.17859357595443726,0.0271309744566679,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-07,68,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.008334710262715816,低风险,低风险,低风险,低风险,0.0,0.0,0.04022514447569847,0.3028346300125122,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-14,69,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.015101305209100246,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-21,70,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.005515264812856913,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.3355908989906311,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-28,71,1,0,0.0,0.0,0.0,0.00310409814119339,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.005139287561178207,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-04,72,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,0.5477514863014221,0.29958078265190125,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.022225506603717804,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-11,73,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.000575542449951,0.3370617628097534,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.11093692481517792,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-18,74,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.000575542449951,0.3533838093280792,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.13675658404827118,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-25,75,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.000575542449951,0.3421351909637451,低风险,低风险,低风险,低风险,0.0,0.0,0.0,2.0223946571350098,低风险,低风险,低风险,低风险
full_fit,5,S5 新都-红花堰,成都市新都区红花堰,2025-09-01,76,1,0,0.0,0.0,0.03193411976099014,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.0,0.3411133885383606,低风险,低风险,低风险,低风险,0.0,0.0,0.08306858688592911,0.2916063368320465,低风险,低风险,低风险,低风险
full_fit,6,S6 泸定-燕子沟,泸定县燕子沟麻柳林村,2025-07-30,77,1,1,85.0,13.222222222222221,85.0,13.222222222222221,高风险,高风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
