病害类型,病害中文,特征变量,特征变量中文,基线均值RMSE,置换后均值RMSE,重要性增量RMSE,基线输出1_RMSE,基线输出2_RMSE,置换输出1_RMSE,置换输出2_RMSE,排名
white,白斑病,原始_24小时最大降水量,原始_24小时最大降水量,0.14783263951539993,0.1460869051516056,-0.0017457343637943268,0.20637765526771545,0.08928762376308441,0.20269930362701416,0.08947450667619705,47
white,白斑病,原始_地表温度最大值(℃),原始_地表温度最大值(℃),0.14783263951539993,0.14599758759140968,-0.0018350519239902496,0.20637765526771545,0.08928762376308441,0.20309363305568695,0.08890154212713242,48
white,白斑病,原始_地表温度均值(℃),原始_地表温度均值(℃),0.14783263951539993,0.14592011645436287,-0.0019125230610370636,0.20637765526771545,0.08928762376308441,0.20911790430545807,0.08272232860326767,49
white,白斑病,28天内强降雨次数,28天内强降雨次数,0.14783263951539993,0.14568423852324486,-0.002148400992155075,0.20637765526771545,0.08928762376308441,0.20790942013263702,0.08345905691385269,50
white,白斑病,原始_10m风速最小值,原始_10m风速最小值,0.14783263951539993,0.1456783562898636,-0.0021542832255363464,0.20637765526771545,0.08928762376308441,0.20214304327964783,0.08921366930007935,51
white,白斑病,原始_地表温度最小值(℃),原始_地表温度最小值(℃),0.14783263951539993,0.14547116681933403,-0.0023614726960659027,0.20637765526771545,0.08928762376308441,0.20196279883384705,0.08897953480482101,52
white,白斑病,7天最大单日降雨_mm,7天最大单日降雨_mm,0.14783263951539993,0.14542428776621819,-0.0024083517491817474,0.20637765526771545,0.08928762376308441,0.20601807534694672,0.08483050018548965,53
white,白斑病,原始_10m风速均值,原始_10m风速均值,0.14783263951539993,0.1453305333852768,-0.0025021061301231384,0.20637765526771545,0.08928762376308441,0.20173610746860504,0.08892495930194855,54
white,白斑病,原始_2m气温均值(℃),原始_2m气温均值(℃),0.14783263951539993,0.1451290398836136,-0.0027035996317863464,0.20637765526771545,0.08928762376308441,0.20092947781085968,0.08932860195636749,55
white,白斑病,平均相对湿度_14d,平均相对湿度_14d,0.14783263951539993,0.1448223926126957,-0.003010246902704239,0.20637765526771545,0.08928762376308441,0.20176726579666138,0.08787751942873001,56
white,白斑病,原始_2m气温最小值(℃),原始_2m气温最小值(℃),0.14783263951539993,0.14468855783343315,-0.0031440816819667816,0.20637765526771545,0.08928762376308441,0.2006024271249771,0.08877468854188919,57
white,白斑病,累计降水_28d(mm),累计降水_28d(mm),0.14783263951539993,0.14412246644496918,-0.0037101730704307556,0.20637765526771545,0.08928762376308441,0.19453085958957672,0.09371407330036163,58
white,白斑病,平均气温℃_7d,平均气温℃_7d,0.14783263951539993,0.1434064880013466,-0.004426151514053345,0.20637765526771545,0.08928762376308441,0.20497216284275055,0.08184081315994263,59
white,白斑病,平均短波辐射_7d,平均短波辐射_7d,0.14783263951539993,0.14336318895220757,-0.0044694505631923676,0.20637765526771545,0.08928762376308441,0.20231464505195618,0.08441173285245895,60
white,白斑病,平均土壤相对湿度_21d,平均土壤相对湿度_21d,0.14783263951539993,0.14321477338671684,-0.00461786612868309,0.20637765526771545,0.08928762376308441,0.19801010191440582,0.08841944485902786,61
white,白斑病,原始_5cm土壤温度(℃),原始_5cm土壤温度(℃),0.14783263951539993,0.14300228282809258,-0.004830356687307358,0.20637765526771545,0.08928762376308441,0.20720282196998596,0.07880174368619919,62
white,白斑病,28天内高湿天数,28天内高湿天数,0.14783263951539993,0.14221744984388351,-0.0056151896715164185,0.20637765526771545,0.08928762376308441,0.2012212723493576,0.08321362733840942,63
white,白斑病,7天内强降雨次数,7天内强降雨次数,0.14783263951539993,0.14144350215792656,-0.006389137357473373,0.20637765526771545,0.08928762376308441,0.20371922850608826,0.07916777580976486,64
white,白斑病,原始_2m气温最大值(℃),原始_2m气温最大值(℃),0.14783263951539993,0.14068465679883957,-0.007147982716560364,0.20637765526771545,0.08928762376308441,0.19949641823768616,0.08187289535999298,65
white,白斑病,累计降水_21d(mm),累计降水_21d(mm),0.14783263951539993,0.13967036828398705,-0.008162271231412888,0.20637765526771545,0.08928762376308441,0.19628451764583588,0.08305621892213821,66
white,白斑病,平均气温℃_28d,平均气温℃_28d,0.14783263951539993,0.1381067857146263,-0.00972585380077362,0.20637765526771545,0.08928762376308441,0.19415007531642914,0.08206349611282349,67
